2Pac,7,35
30 Seconds To Mars,1,1
50 Cent,9,46
Action Bronson,1,3
Aerosmith,4,4
Akon,4,4
Alanis Morrisette,1,1
Alexis Jordan,1,1
Alter Bridge,1,11
Amerie,1,1
Amy Winehouse,1,2
Arctic Monkeys,2,23
Armin van Buuren,1,2
ASAP Rocky,1,5
Ashanti,3,3
Asher Roth,1,3
Audioslave,2,9
Avril Lavigne,2,3
B.o.B,1,3
B2K,2,4
Bad Meets Evil,1,2
Beastie Boys,1,1
Beyonce,1,1
Biffy Clyro,2,6
Big Sean,1,2
Bilal,1,1
Birdman & Lil' Wayne,1,5
Black Rob,1,1
Blackstreet,1,1
Blink 182,1,3
Bone Crusher,1,1
Boston,1,1
Boy Kill Boy,1,5
Bruno Mars,2,5
Bubba Sparxxx,1,1
Busta Rhymes,7,15
Calvin Harris,2,10
Calvin Harris & Alesso,1,1
Cam'ron,1,2
Cassie,1,1
Cee-Lo,1,1
Chamillionaire,1,1
Chase & Status,1,3
Cher Lloyd,1,1
Chingy,2,2
Chipmunk,1,1
Chris Brown,5,13
Ciara,2,6
Clipse,5,19
Coldplay,2,8
Common,3,12
Coolio,1,1
Craig Mack,1,2
Creed,1,1
Crooklyn Clan,1,1
Cypress Hill,3,5
D-12,5,14
Daft Punk,1,2
Daniel Merriweather,1,1
David Guetta,3,12
De La Soul,1,2
Dead Prez,1,1
Deadmau5,2,3
Desiigner,1,1
Destiny's Child,1,1
Devlin,1,1
Diddy,3,13
Dilated Peoples,1,1
Disturbed,1,1
Dizzee Rascal,2,4
DMX,8,25
Donnell Jones,1,1
Dr. Dre,7,57
Drake,5,10
Duran Duran,1,1
E-40,1,3
Editors,2,4
Eminem,13,93
Erick Sermon,1,1
Estelle,1,1
Eve,2,6
Example,1,2
Fabolous,6,20
Faith Evans,1,1
Fall Out Boy,3,21
Fam-Lay,1,1
Fat Joe,2,4
Feeder,1,1
Felli Fel,1,1
Foo Fighters,7,28
Frank Ocean,1,1
Fredro Starr,1,1
Freeway,1,1
French Montana,1,1
G.Dep,1,1
G.O.O.D. Music,1,9
Gang Starr,1,1
Ghostface Killah,2,4
Giggs,2,3
Ginuwine,2,2
Gnarls Barkley,1,1
Good Charlotte,1,2
Green Day,4,11
Green Lantern,4,14
G-Unit,2,7
Gwen Stefani,1,3
Houston,1,1
Hurricane Chris,1,1
Ice Cube,4,13
J.Cole,1,2
Ja Rule,5,7
Jadakiss,5,19
Jagged Edge,2,2
James Brown,1,1
Jamie Foxx,1,3
Jason Derulo,1,2
Jay Sean,1,1
Jay-Z,13,90
